日期,时间,功率(KW)
2月25日,13:00,1424
2月25日,12:45,1563.2
2月25日,12:30,1449.6
2月25日,12:15,1976
2月25日,12:00,1712
2月25日,11:45,1801.6
2月25日,11:30,2035.2
2月25日,11:15,2132.8
2月25日,11:00,2116.8
2月25日,10:45,2164.8
2月25日,10:30,2334.4
2月25日,10:15,2147.2
2月25日,10:00,1819.2
2月25日,9:45,1612.8
2月25日,9:30,2065.6
2月25日,9:15,2278.4
2月25日,9:00,2315.2
2月25日,8:45,2408
2月25日,8:30,2265.6
2月25日,8:15,2139.2
2月25日,8:00,1520
2月25日,7:45,1776
2月25日,7:30,2696
2月25日,7:15,2286.4
2月25日,7:00,2556.8
2月25日,6:45,2972.8
2月25日,6:30,3369.6
2月25日,6:15,2860.8
2月25日,6:00,2937.6
2月25日,5:45,3041.6
2月25日,5:30,2875.2
2月25日,5:15,3017.6
2月25日,5:00,2809.6
2月25日,4:45,2652.8
2月25日,4:30,2888
2月25日,4:15,2696
2月25日,4:00,3040
2月25日,3:45,2952
2月25日,3:30,2580.8
2月25日,3:15,2780.8
2月25日,3:00,2841.6
2月25日,2:45,2988.8
2月25日,2:30,2688
2月25日,2:15,2640
2月25日,2:00,2726.4
2月25日,1:45,2456
2月25日,1:30,2766.4
2月25日,1:15,2704
2月25日,1:00,2446.4
2月25日,0:45,2796.8
2月25日,0:30,2686.4
2月25日,0:15,2790.4
2月25日,0:00,2684.8
2月24日,23:45,3179.2
2月24日,23:30,2291.2
2月24日,23:15,2676.8
2月24日,23:00,3214.4
2月24日,22:45,2905.6
2月24日,22:30,2808
2月24日,22:15,2968
2月24日,22:00,3044.8
2月24日,21:45,3416
2月24日,21:30,3280
2月24日,21:15,3251.2
2月24日,21:00,3078.4
2月24日,20:45,2830.4
2月24日,20:30,2764.8
2月24日,20:15,2676.8
2月24日,20:00,2587.2
2月24日,19:45,3048
2月24日,19:30,2804.8
2月24日,19:15,3358.4
2月24日,19:00,3326.4
2月24日,18:45,3225.6
2月24日,18:30,2836.8
2月24日,18:15,3408
2月24日,18:00,2859.2
2月24日,17:45,3360
2月24日,17:30,3852.8
2月24日,17:15,3716.8
2月24日,17:00,3427.2
2月24日,16:45,3793.6
2月24日,16:30,3289.6
2月24日,16:15,3016
2月24日,16:00,3048
2月24日,15:45,3363.2
2月24日,15:30,3524.8
2月24日,15:15,3736
2月24日,15:00,3329.6
2月24日,14:45,3417.6
2月24日,14:30,3566.4
2月24日,14:15,2929.6
2月24日,14:00,3446.4
2月24日,13:45,3390.4
2月24日,13:30,3156.8
2月24日,13:15,3145.6
2月24日,13:00,3060.8
2月24日,12:45,3428.8
2月24日,12:30,3011.2
2月24日,12:15,3313.6
2月24日,12:00,3198.4
2月24日,11:45,3180.8
2月24日,11:30,3729.6
2月24日,11:15,3678.4
2月24日,11:00,3779.2
2月24日,10:45,3475.2
2月24日,10:30,3368
2月24日,10:15,3302.4
2月24日,10:00,3348.8
2月24日,9:45,3123.2
2月24日,9:30,3352
2月24日,9:15,3107.2
2月24日,9:00,3161.6
2月24日,8:45,3296
2月24日,8:30,3000
2月24日,8:15,2948.8
2月24日,8:00,2001.6
2月24日,7:45,2347.2
2月24日,7:30,2900.8
2月24日,7:15,3177.6
2月24日,7:00,2393.6
2月24日,6:45,2672
2月24日,6:30,2579.2
2月24日,6:15,2640
2月24日,6:00,2606.4
2月24日,5:45,2531.2
2月24日,5:30,2950.4
2月24日,5:15,2596.8
2月24日,5:00,2273.6
2月24日,4:45,2352
2月24日,4:30,2283.2
2月24日,4:15,2184
2月24日,4:00,2508.8
2月24日,3:45,2264
2月24日,3:30,2651.2
2月24日,3:15,2475.2
2月24日,3:00,2630.4
2月24日,2:45,2603.2
2月24日,2:30,2827.2
2月24日,2:15,2646.4
2月24日,2:00,3006.4
2月24日,1:45,2947.2
2月24日,1:30,2852.8
2月24日,1:15,2953.6
2月24日,1:00,3129.6
2月24日,0:45,2707.2
2月24日,0:30,3110.4
2月24日,0:15,2756.8
2月24日,0:00,3099.2
2月23日,23:45,2723.2
2月23日,23:30,2230.4
2月23日,23:15,2168
2月23日,23:00,2740.8
2月23日,22:45,3011.2
2月23日,22:30,2851.2
2月23日,22:15,2772.8
2月23日,22:00,3052.8
2月23日,21:45,2752
2月23日,21:30,3123.2
2月23日,21:15,3190.4
2月23日,21:00,3132.8
2月23日,20:45,2966.4
2月23日,20:30,3435.2
2月23日,20:15,2900.8
2月23日,20:00,2481.6
2月23日,19:45,2940.8
2月23日,19:30,2884.8
2月23日,19:15,2872
2月23日,19:00,2889.6
2月23日,18:45,3187.2
2月23日,18:30,2955.2
2月23日,18:15,3068.8
2月23日,18:00,2441.6
2月23日,17:45,2947.2
2月23日,17:30,3288
2月23日,17:15,2900.8
2月23日,17:00,2681.6
2月23日,16:45,3009.6
2月23日,16:30,2905.6
2月23日,16:15,2937.6
2月23日,16:00,3072
2月23日,15:45,2996.8
2月23日,15:30,3264
2月23日,15:15,2862.4
2月23日,15:00,3489.6
2月23日,14:45,2969.6
2月23日,14:30,3049.6
2月23日,14:15,3403.2
2月23日,14:00,2572.8
2月23日,13:45,2961.6
2月23日,13:30,2265.6
2月23日,13:15,2350.4
2月23日,13:00,2528
2月23日,12:45,2952
2月23日,12:30,2648
2月23日,12:15,2339.2
2月23日,12:00,2195.2
2月23日,11:45,2376
2月23日,11:30,2891.2
2月23日,11:15,2793.6
2月23日,11:00,2755.2
2月23日,10:45,2452.8
2月23日,10:30,2422.4
2月23日,10:15,2238.4
2月23日,10:00,2931.2
2月23日,9:45,2739.2
2月23日,9:30,2252.8
2月23日,9:15,2569.6
2月23日,9:00,2494.4
2月23日,8:45,3027.2
2月23日,8:30,2494.4
2月23日,8:15,2267.2
2月23日,8:00,2144
2月23日,7:45,2267.2
2月23日,7:30,2356.8
2月23日,7:15,2771.2
2月23日,7:00,2124.8
2月23日,6:45,2091.2
2月23日,6:30,2091.2
2月23日,6:15,2604.8
2月23日,6:00,2667.2
2月23日,5:45,2729.6
2月23日,5:30,2148.8
2月23日,5:15,2459.2
2月23日,5:00,2667.2
2月23日,4:45,2462.4
2月23日,4:30,2601.6
2月23日,4:15,2564.8
2月23日,4:00,2556.8
2月23日,3:45,2323.2
2月23日,3:30,2208
2月23日,3:15,1932.8
2月23日,3:00,2606.4
2月23日,2:45,2598.4
2月23日,2:30,2587.2
2月23日,2:15,2820.8
2月23日,2:00,2756.8
2月23日,1:45,2587.2
2月23日,1:30,2177.6
2月23日,1:15,2257.6
2月23日,1:00,2148.8
